	protein_sequence1	protein_sequence2
3469	482	377
3470	482	800
3471	482	84
3472	2383	2034
3473	2704	328
3474	2704	471
3475	7	1883
3476	7	2297
3477	2263	393
3478	563	1975
3479	563	2280
3480	563	750
3481	2234	328
3482	1240	2107
3483	1240	2281
3484	1240	2034
3485	1209	471
3486	2367	2331
3487	2049	1373
3488	2429	1710
3489	448	1883
3490	448	1710
3491	448	2297
3492	285	1429
3493	2295	144
3494	2091	1435
3495	1672	2331
3496	872	2170
3497	2175	2034
3498	2175	2280
3499	2175	471
3500	1297	1134
3501	1297	377
3502	2683	328
3503	274	2034
3504	1873	290
3505	1873	1622
3506	1873	438
3507	1265	2281
3508	1265	2281
3509	1265	2281
3510	1265	2281
3511	2657	1710
3512	992	328
3513	1736	1757
3514	2287	328
3515	367	1818
3516	2125	2281
3517	2125	924
3518	129	2355
3519	1250	2165
3520	1250	328
3521	59	2034
3522	2187	2165
3523	1167	26
3524	2302	1435
3525	1496	2280
3526	29	2249
3527	2104	2355
3528	1181	2280
3529	2017	2134
3530	1613	377
3531	2013	1822
3532	2013	1883
3533	2013	1830
3534	2013	26
3535	2013	1975
3536	2013	377
3537	2013	800
3538	2013	1757
3539	2013	84
3540	2013	2297
3541	2013	485
3542	1471	1036
3543	778	2211
3544	778	2034
3545	778	2280
3546	173	780
3547	1855	1653
3548	1855	2331
3549	1855	1787
3550	1855	1975
3551	474	2280
3552	294	1679
3553	294	937
3554	294	1024
3555	294	393
3556	1950	328
3557	1950	471
3558	2448	1622
3559	2448	1213
3560	2448	1680
3561	2448	601
3562	2448	377
3563	2448	304
3564	2448	784
3565	835	2280
3566	2559	2249
3567	2650	2331
3568	756	784
3569	1089	1153
3570	2431	2280
3571	2184	1213
3572	2466	2331
3573	469	2280
3574	2043	2034
3575	286	1622
3576	286	784
3577	286	1278
3578	275	2211
3579	275	2211
3580	275	2034
3581	275	2134
3582	2033	2249
3583	707	2034
3584	2094	1622
3585	2094	377
3586	2094	438
3587	648	2034
3588	15	1710
3589	202	2249
3590	2183	2249
3591	2430	2249
3592	2420	1710
3593	137	2211
3594	137	2280
3595	137	1563
3596	137	1710
3597	1806	917
3598	1556	2034
3599	2441	1435
3600	1012	1653
3601	1424	784
3602	1820	2331
3603	1359	328
3604	1359	471
3605	2693	1
3606	2693	1883
3607	2283	328
3608	287	784
3609	2634	2327
3610	2634	908
3611	2634	1595
3612	2634	328
3613	141	1883
3614	141	2297
3615	2705	1883
3616	2705	2297
3617	1276	2249
3618	1163	2173
3619	1163	1622
3620	1163	784
3621	580	377
3622	1339	2280
3623	2539	2331
3624	299	2543
3625	50	144
3626	50	2034
3627	50	981
3628	50	26
3629	50	1710
3630	2045	937
3631	41	1883
3632	41	2297
3633	2700	1435
3634	1370	2543
3635	1370	246
3636	132	2249
3637	132	2280
3638	1645	1883
3639	1645	2297
3640	431	2173
3641	431	784
3642	372	1883
3643	372	2297
3644	458	1429
3645	458	1157
3646	1086	401
3647	2112	2034
3648	1042	2034
3649	1475	2281
3650	1475	2355
3651	1475	924
3652	1834	2134
3653	1834	2450
3654	876	1617
3655	876	1883
3656	876	1
3657	406	1883
3658	406	2297
3659	288	2034
3660	2100	1684
3661	2523	1710
3662	1469	290
3663	656	798
3664	656	780
3665	656	328
3666	43	1373
3667	1236	2331
3668	2681	2280
3669	1978	2280
3670	2345	2280
3671	1856	1653
3672	1856	2196
3673	1856	1787
3674	1856	1975
3675	1856	2280
3676	1856	377
3677	1856	84
3678	1856	471
3679	1586	2034
3680	2269	2331
3681	424	2355
3682	1815	393
3683	38	1762
3684	169	2331
3685	169	1757
3686	2352	328
3687	714	2034
3688	1096	1373
3689	1621	377
3690	354	2034
3691	1431	2331
3692	1150	2280
3693	502	1653
3694	502	2211
3695	502	1563
3696	965	1762
3697	965	1157
3698	2434	1036
3699	1910	1677
3700	16	328
3701	786	1097
3702	786	1975
3703	786	377
3704	1821	683
3705	1821	2249
3706	1821	1114
3707	1821	2280
3708	2375	1677
3709	1102	2196
3710	1454	2211
3711	1454	2034
3712	1454	2280
3713	2414	1114
3714	423	2034
3715	423	2280
3716	1465	1653
3717	979	328
3718	1842	2331
3719	1842	26
3720	2271	1036
3721	2271	1757
3722	2082	1710
3723	151	144
3724	151	1824
3725	151	2034
3726	151	1114
3727	151	30
3728	221	2034
3729	1791	952
3730	1791	2034
3731	1791	1419
3732	1791	11
3733	1791	390
3734	1791	30
3735	1476	471
3736	766	2034
3737	766	377
3738	477	1883
3739	477	2297
3740	866	2249
3741	735	2484
3742	735	2665
3743	735	1660
3744	735	1157
3745	735	2560
3746	735	771
3747	735	473
3748	479	2211
3749	479	2331
3750	479	1036
3751	479	2196
3752	479	1975
3753	479	1757
3754	860	144
3755	860	2211
3756	2474	650
3757	535	2249
3758	2149	2196
3759	2149	1975
3760	2149	377
3761	616	2355
3762	797	144
3763	797	2034
3764	797	981
3765	811	1152
3766	811	1928
3767	2644	1036
3768	2644	2196
3769	418	2280
3770	136	2176
3771	78	1591
3772	78	945
3773	78	2331
3774	78	9
3775	336	2331
3776	1497	11
3777	213	949
3778	213	737
3779	213	2034
3780	213	981
3781	213	1710
3782	1885	601
3783	1885	1622
3784	1885	784
3785	1207	513
3786	1207	26
3787	1207	1757
3788	2218	144
3789	2218	290
3790	2218	1617
3791	2218	2280
3792	2218	1710
3793	2338	2281
3794	2338	2281
3795	2338	2281
3796	2338	2281
3797	2338	924
3798	2338	844
3799	2338	1710
3800	1135	393
3801	1135	1622
3802	1135	784
3803	1135	438
3804	349	503
3805	349	171
3806	349	1653
3807	349	1981
3808	349	1512
3809	349	2034
3810	349	1787
3811	349	1975
3812	349	1563
3813	349	692
3814	349	824
3815	349	84
3816	349	2453
3817	2531	171
3818	2531	1653
3819	2531	2034
3820	2531	2331
3821	2531	1787
3822	2531	1975
3823	2531	692
3824	2570	2249
3825	825	780
3826	825	2249
3827	184	2249
3828	734	2280
3829	651	144
3830	651	26
3831	411	276
3832	411	1710
3833	1914	1787
3834	121	2281
3835	121	2281
3836	121	2281
3837	121	2281
3838	899	1653
3839	899	1563
3840	1546	2134
3841	1631	328
3842	1631	471
3843	1754	2134
3844	68	1435
3845	721	2034
3846	721	1787
3847	1082	2280
3848	1738	2355
3849	1738	2280
3850	10	2134
3851	773	2280
3852	744	2249
3853	1422	377
3854	987	1787
3855	1565	949
3856	2631	601
3857	2631	784
3858	1155	1787
3859	2284	290
3860	1079	2280
3861	1901	2331
3862	1018	2280
3863	1848	559
3864	1395	2211
3865	2373	2280
3866	914	2280
3867	1587	1684
3868	1587	471
3869	549	2134
3870	1712	1213
3871	2701	1618
3872	2626	2331
3873	2635	2249
3874	89	2034
3875	2020	1213
3876	312	2249
3877	344	1898
3878	1000	2331
3879	993	1660
3880	993	2280
3881	993	1757
3882	581	1957
3883	2499	1435
3884	2024	1294
3885	2024	1787
3886	2024	1722
3887	894	2034
3888	2654	1213
3889	2410	1435
3890	279	1727
3891	235	2280
3892	659	144
3893	1532	2331
3894	1939	2034
3895	351	2331
3896	351	26
3897	911	2034
3898	869	2280
3899	869	917
3900	22	780
3901	22	2034
3902	2716	780
3903	361	2173
3904	361	1278
3905	988	377
3906	301	2353
3907	1908	2249
3908	2697	2280
3909	2677	2281
3910	2677	2281
3911	2677	2281
3912	2677	2281
3913	2677	2134
3914	2699	2165
3915	1825	1786
3916	2566	2034
3917	1178	503
3918	1178	171
3919	1178	1653
3920	1178	1981
3921	1178	1512
3922	1178	2034
3923	1178	1787
3924	1178	1975
3925	1178	1563
3926	1178	692
3927	1178	824
3928	1178	84
3929	1178	2453
3930	1590	2034
3931	1590	471
3932	2737	949
3933	2737	2034
3934	1034	1710
3935	1533	1757
3936	1404	2173
3937	1404	1278
3938	715	2034
3939	783	471
3940	211	702
3941	1177	393
3942	379	1710
3943	634	328
3944	2376	1435
3945	878	1822
3946	878	2034
3947	2712	2355
3948	1487	485
3949	1706	1485
3950	70	2331
3951	2695	2034
3952	381	1335
3953	381	679
3954	381	1909
3955	381	551
3956	381	952
3957	381	1390
3958	1945	2249
3959	1074	2034
3960	874	471
3961	2301	2249
3962	1977	1653
3963	2723	1036
3964	60	2165
3965	60	1883
3966	60	2280
3967	1279	193
3968	1420	2500
3969	1169	2034
3970	566	1213
3971	2272	2331
3972	2604	2034
3973	2636	2331
3974	597	2034
3975	2684	2280
3976	654	2517
3977	2121	1622
3978	2121	784
3979	2121	438
3980	2213	2034
3981	1353	2249
3982	12	2034
3983	12	2331
3984	1257	328
3985	2007	2249
3986	131	390
3987	131	390
3988	507	2034
3989	840	1036
3990	840	2280
3991	2141	471
3992	374	2034
3993	252	1883
3994	252	1830
3995	252	2196
3996	252	2297
3997	148	328
3998	148	2280
3999	194	2281
4000	194	924
4001	194	2280
4002	2067	1653
4003	2067	2211
4004	2067	2249
4005	2067	2034
4006	2067	2280
4007	239	2355
4008	664	1435
4009	664	2280
4010	1085	1308
4011	2735	1883
4012	2735	2297
4013	1553	1563
4014	2006	328
4015	2679	1134
4016	2679	2211
4017	2679	2331
4018	2679	1787
4019	2679	1975
4020	2679	377
4021	2679	800
4022	2679	84
4023	2679	2453
4024	2679	485
4025	624	2034
4026	624	2331
4027	624	824
4028	690	114
4029	518	2280
4030	1566	1868
4031	1566	1898
4032	1566	114
4033	1566	780
4034	1566	1389
4035	1566	1957
4036	1566	471
4037	957	1595
4038	957	2280
4039	1271	290
4040	2356	1600
4041	2356	780
4042	2356	1710
4043	263	171
4044	263	1653
4045	263	2034
4046	263	2331
4047	263	1787
4048	263	1975
4049	263	692
4050	338	503
4051	338	171
4052	338	1653
4053	338	1981
4054	338	1512
4055	338	2453
4056	338	1787
4057	338	1975
4058	338	1563
4059	338	692
4060	338	824
4061	338	84
4062	2557	171
4063	2557	1653
4064	2557	2034
4065	2557	2331
4066	2557	1787
4067	2557	1975
4068	2557	692
4069	2612	171
4070	2612	1653
4071	2612	2034
4072	2612	2331
4073	2612	1787
4074	2612	1975
4075	2612	692
4076	2458	2249
4077	2458	1213
4078	1439	1419
4079	1439	1157
4080	1782	1883
4081	1782	328
4082	1782	2297
4083	1493	2211
4084	1493	2280
4085	834	2034
4086	2384	2211
4087	732	1097
4088	732	513
4089	732	1134
4090	732	171
4091	732	970
4092	732	1653
4093	732	2589
4094	732	1760
4095	732	401
4096	732	1822
4097	732	1151
4098	732	683
4099	732	1595
4100	732	2331
4101	732	1036
4102	732	693
4103	732	1114
4104	732	2453
4105	732	1787
4106	732	26
4107	732	2280
4108	732	917
4109	732	124
4110	732	1757
4111	732	1957
4112	732	1811
4113	732	317
4114	913	1653
4115	913	2331
4116	1850	2280
4117	167	2280
4118	939	1710
4119	1940	1576
4120	1940	937
4121	1946	2249
4122	1946	2280
4123	1929	750
4124	2311	1710
4125	488	2280
4126	2400	1883
4127	2400	1830
4128	2400	2280
4129	2639	461
4130	2639	1735
4131	2639	818
4132	828	2249
4133	828	2280
4134	1874	2280
4135	2680	2280
4136	696	2355
4137	2538	2034
4138	1014	2331
4139	1037	503
4140	1037	171
4141	1037	1653
4142	1037	1981
4143	1037	1512
4144	1037	2331
4145	1037	2453
4146	1037	1787
4147	1037	1975
4148	1037	1563
4149	1037	692
4150	1037	824
4151	1037	84
4152	2096	2331
4153	230	949
4154	230	2249
4155	330	1883
4156	330	2297
4157	2171	2280
4158	2276	1883
4159	2276	2297
4160	514	2280
4161	514	1757
4162	983	2327
4163	983	908
4164	983	1975
4165	983	377
4166	983	800
4167	983	1757
4168	983	84
4169	983	1710
4170	607	522
4171	1021	2249
4172	55	2249
4173	1299	1883
4174	747	2249
4175	1629	1134
4176	1629	2331
4177	1629	2280
4178	1900	2331
4179	2241	1036
4180	2241	2280
4181	2041	328
4182	2041	471
4183	1238	2211
4184	1238	2331
4185	229	2034
4186	1637	2034
4187	1013	1617
4188	1013	1188
4189	1013	2355
4190	278	2280
4191	1357	328
4192	836	2034
4193	1880	1710
4194	2574	2134
4195	493	1157
4196	1964	471
4197	2140	1928
4198	2451	1213
4199	2470	2249
4200	2470	2134
4201	262	2280
4202	1023	780
4203	2143	2249
4204	2143	1134
4205	1661	25
4206	2696	1684
4207	1779	503
4208	2075	1151
4209	2075	2150
4210	2075	2280
4211	2075	124
4212	2075	1811
4213	1903	2034
4214	478	1710
4215	1122	2280
4216	1443	1883
4217	1443	2297
4218	613	328
4219	429	2281
4220	429	924
4221	781	2249
4222	146	1036
4223	2660	780
4224	2660	920
4225	2344	2281
4226	2344	924
4227	2317	2034
4228	1295	1435
4229	1202	2034
4230	347	2543
4231	347	246
4232	309	2034
4233	309	2331
4234	309	471
4235	224	1883
4236	224	1
4237	1744	1435
4238	904	377
4239	327	2281
4240	1001	328
4241	1001	471
4242	331	2280
4243	1729	2034
4244	933	84
4245	2687	1157
4246	1436	1975
4247	2567	1710
4248	484	2331
4249	2357	2249
4250	1836	2280
4251	583	1485
4252	1876	601
4253	2346	1883
4254	2346	2297
4255	2605	2280
4256	2192	784
4257	1892	1346
4258	1132	144
4259	96	2331
4260	96	2196
4261	812	2500
4262	2296	2034
4263	1643	1153
4264	1143	2280
4265	1442	2249
4266	1442	1007
4267	1472	1213
4268	2715	780
4269	820	1
4270	820	1883
4271	1543	2249
4272	2117	503
4273	2645	2355
4274	2318	1710
4275	192	2034
4276	1906	1883
4277	1906	1830
4278	1906	2297
4279	426	1883
4280	426	1
4281	426	2280
4282	1690	1859
4283	2028	328
4284	2508	949
4285	1904	780
4286	1904	1957
4287	829	2355
4288	2656	1622
4289	2042	1622
4290	2042	601
4291	2042	377
4292	1573	1898
4293	2668	2297
4294	2083	471
4295	1819	2280
4296	2618	2280
4297	1208	780
4298	1208	1957
4299	757	377
4300	2216	1429
4301	2565	2034
4302	2506	2331
4303	2686	1153
4304	166	377
4305	584	1435
4306	584	1036
4307	584	2280
4308	1547	1653
4309	1547	2211
4310	1547	800
4311	2581	1576
4312	190	2543
4313	190	246
4314	1561	1883
4315	1561	2297
4316	1608	780
4317	1608	2281
4318	1608	2281
4319	1608	2281
4320	1608	2281
4321	1608	2281
4322	1608	924
4323	852	2280
4324	2549	503
4325	2549	513
4326	2549	1653
4327	2549	2211
4328	2461	1653
4329	2461	2196
4330	2461	1975
4331	2461	377
4332	2461	800
4333	430	838
4334	759	2034
4335	2071	2331
4336	543	2249
4337	543	2280
4338	2320	1435
4339	1899	2331
4340	1065	780
4341	123	1975
4342	123	2280
4343	123	377
4344	123	84
4345	2412	485
4346	2412	84
4347	883	2134
4348	154	2280
4349	6	2034
4350	2148	124
4351	1144	1727
4352	2204	2280
4353	1894	2134
4354	1182	2331
4355	1182	26
4356	496	471
4357	197	1435
4358	1755	1757
4359	790	2331
4360	2707	26
4361	2147	2165
4362	1648	1710
4363	1638	1653
4364	1638	2281
4365	1638	2034
4366	1638	2331
4367	2131	1883
4368	2131	2297
4369	1190	1036
4370	1967	2249
4371	537	114
4372	537	838
4373	362	1883
4374	362	2297
4375	1730	2056
4376	2478	2355
4377	1349	2281
4378	1349	2281
4379	1349	2281
4380	1349	2281
4381	1349	524
4382	1951	2280
4383	1491	1883
4384	749	2288
4385	749	2277
4386	749	1401
4387	749	2050
4388	749	1423
4389	749	568
4390	749	1684
4391	749	1600
4392	749	393
4393	1606	2034
4394	639	2034
4395	1798	2034
4396	1798	2280
4397	2157	2280
4398	2555	780
4399	168	2196
4400	569	2034
4401	365	2589
4402	612	171
4403	1683	1727
4404	101	2280
4405	1235	2280
4406	1473	2589
4407	1473	1435
4408	675	1710
4409	1252	2034
4410	1509	1285
4411	1509	2616
4412	2483	2249
4413	2467	1710
4414	2442	1727
4415	661	2281
4416	661	2281
4417	661	2281
4418	661	2281
4419	661	924
4420	2162	2211
4421	1203	2280
4422	2300	2249
4423	2300	2280
4424	898	2355
4425	1507	2134
4426	2063	2280
4427	1043	1727
4428	2576	328
4429	1687	2034
4430	534	780
4431	491	2134
4432	984	2034
4433	2190	2331
4434	2188	2034
4435	2476	2249
4436	2476	328
4437	631	2249
4438	2678	2280
4439	145	1622
4440	1930	1653
4441	1930	780
4442	1930	2196
4443	1930	485
4444	1930	1975
4445	1930	377
4446	1930	800
4447	2319	2134
4448	2046	2280
4449	1061	471
4450	1061	650
4451	161	1883
4452	161	2297
4453	837	1898
4454	837	2031
4455	1146	917
4456	1984	2280
4457	1031	2249
4458	1031	2280
4459	2405	2280
4460	233	328
4461	1242	2249
4462	1242	2280
4463	645	2034
4464	1628	2034
4465	2073	1757
4466	2274	1757
4467	1675	2034
4468	80	784
4469	1328	328
4470	1328	471
4471	1192	780
4472	941	2331
4473	189	780
4474	189	2280
4475	2485	2034
4476	1781	513
4477	1691	1883
4478	1691	1
4479	1691	1830
4480	738	1435
4481	738	2280
4482	1775	2034
4483	1804	2280
4484	56	2134
4485	56	2281
4486	56	924
4487	1248	2280
4488	1960	393
4489	2630	1883
4490	2630	2297
4491	2630	1830
4492	71	2249
4493	71	2280
4494	71	1757
4495	1218	1603
4496	1218	725
4497	2363	2249
4498	621	2280
4499	2208	2491
4500	2208	2641
4501	2208	1576
4502	2208	937
4503	2208	36
4504	2208	393
4505	2208	1351
4506	1980	1282
4507	1980	470
4508	1980	1344
4509	1980	107
4510	1980	1883
4511	1980	780
4512	1980	751
4513	1980	27
4514	1060	393
4515	691	26
4516	1927	692
4517	93	2297
4518	93	1883
4519	93	1830
4520	1329	832
4521	2156	780
4522	199	2034
4523	2513	1786
4524	443	2027
4525	443	393
4526	99	1710
4527	990	1883
4528	990	2297
4529	684	2280
4530	2494	2355
4531	2409	1213
4532	968	1435
4533	2052	559
4534	2052	2229
4535	2052	1909
4536	2052	952
4537	2052	289
4538	972	2411
4539	460	2249
4540	2490	1036
4541	2490	1563
4542	1107	780
4543	2158	780
4544	1464	1036
4545	1168	2034
4546	1168	1787
4547	2323	780
4548	1851	784
4549	335	328
4550	335	784
4551	1268	2280
4552	251	355
4553	1694	355
4554	1694	2034
4555	1915	1883
4556	1915	1830
4557	2666	2249
4558	2666	2280
4559	2010	780
4560	2010	1957
4561	1161	683
4562	1161	2034
4563	1161	471
4564	104	1981
4565	104	1435
4566	2575	2118
4567	623	1576
4568	623	2297
4569	623	1883
4570	305	290
4571	305	144
4572	1343	1757
4573	991	1975
4574	991	377
4575	2587	2034
4576	865	1622
4577	1296	290
4578	848	2034
4579	848	2331
4580	396	780
4581	2086	328
4582	1290	2280
4583	272	1622
4584	272	377
4585	272	1563
4586	240	2249
4587	1953	328
4588	1953	471
4589	995	2211
4590	995	2281
4591	995	924
4592	995	328
4593	995	2280
4594	1310	171
4595	1310	2034
4596	602	1883
4597	602	2297
4598	602	1830
4599	2326	144
4600	2326	2281
4601	2326	2331
4602	2717	780
4603	2169	2249
4604	2418	2211
4605	2418	2281
4606	2418	924
4607	2418	2280
4608	2182	2280
4609	2092	471
4610	2732	2280
4611	314	1710
4612	98	2034
4613	444	2355
4614	444	471
4615	2084	1653
4616	2084	1563
4617	976	2331
4618	2308	1114
4619	476	2034
4620	2388	328
4621	2388	471
4622	1048	2034
4623	1048	2280
4624	538	253
4625	1360	290
4626	384	2331
4627	384	1036
4628	384	1975
4629	384	800
4630	1394	393
4631	578	949
4632	578	2211
4633	578	2034
4634	578	2280
4635	578	377
4636	578	1757
4637	1747	2280
4638	519	1157
4639	1699	2034
4640	2065	2056
4641	1067	1883
4642	1067	2297
4643	1067	1830
4644	1067	2196
4645	1067	471
4646	2231	1883
4647	2231	1
4648	794	144
4649	794	949
4650	794	2211
4651	794	1883
4652	794	2034
4653	794	2331
4654	794	1830
4655	794	1036
4656	794	2280
4657	794	377
4658	794	1757
4659	1337	1883
4660	1337	1830
4661	464	2249
4662	1817	2134
4663	158	2249
4664	91	2249
4665	2095	1180
4666	2095	1435
4667	2095	2597
4668	1625	1975
4669	1625	377
4670	985	2331
4671	1867	2280
4672	204	2280
4673	176	2134
4674	310	1883
4675	310	780
4676	1198	471
4677	2514	2034
4678	2514	2331
4679	1173	1213
4680	2638	678
4681	2638	1576
4682	2638	1351
4683	2242	2034
4684	1266	2280
4685	1210	2331
4686	333	2280
4687	2109	780
4688	2403	1
4689	2403	1883
4690	1812	2280
4691	1172	780
4692	1172	2196
4693	1626	2331
4694	1626	377
4695	1630	2249
4696	1070	1618
4697	297	503
4698	801	1653
4699	801	2280
4700	622	842
4701	2364	949
4702	2364	2034
4703	541	1617
4704	541	2281
4705	541	2355
4706	541	842
4707	453	1710
4708	1160	26
4709	2243	503
4710	2243	296
4711	2243	1330
4712	2243	769
4713	2243	826
4714	2243	1036
4715	1526	683
4716	1526	2249
4717	1526	2280
4718	2521	2280
4719	2029	2196
4720	1947	1485
4721	1655	2331
4722	228	144
4723	228	2034
4724	228	2331
4725	2037	2249
4726	1324	2280
4727	318	2249
4728	318	2280
4729	1567	2280
4730	415	1680
4731	1499	2034
4732	1499	2280
4733	2220	2280
4734	1108	2211
4735	1108	2281
4736	1108	924
4737	1108	2280
4738	1108	2173
4739	1108	1278
4740	1141	471
4741	2672	650
4742	2203	1710
4743	1333	1081
4744	2349	1444
4745	2349	882
4746	752	2280
4747	554	328
4748	2702	328
4749	1814	2355
4750	716	1435
4751	1194	1435
4752	2368	1036
4753	138	2034
4754	1864	2331
4755	108	2034
4756	108	2355
4757	977	2280
4758	788	513
4759	788	147
4760	788	147
4761	1541	1975
4762	1541	377
4763	407	780
4764	2516	780
4765	338	296
4766	338	296
4767	338	296
4768	338	296
4769	338	296
4770	338	296
4771	338	296
4772	338	296
4773	338	296
4774	338	296
4775	338	296
4776	338	296
4777	338	296
4778	338	296
4779	338	296
4780	338	296
4781	338	296
4782	338	296
4783	338	296
4784	338	296
4785	338	296
4786	338	296
4787	338	296
4788	338	296
4789	338	296
4790	338	296
4791	338	296
4792	338	296
4793	338	296
4794	338	296
4795	338	296
4796	338	296
4797	338	296
4798	338	296
4799	338	296
4800	338	296
4801	338	296
4802	338	296
4803	338	296
4804	338	296
4805	338	296
4806	338	296
4807	338	296
4808	338	296
4809	338	296
4810	338	296
4811	338	296
4812	338	296
4813	338	296
4814	338	296
4815	338	296
4816	338	296
4817	338	296
4818	338	296
4819	338	296
4820	338	296
4821	338	296
4822	338	296
4823	338	296
4824	338	296
4825	338	296
4826	338	296
4827	338	296
4828	338	296
4829	338	296
4830	338	296
4831	338	296
4832	338	296
4833	338	296
4834	338	296
4835	338	296
4836	338	296
4837	338	296
4838	338	296
4839	338	296
4840	338	296
4841	338	296
4842	338	296
4843	338	296
4844	338	296
4845	338	296
4846	338	296
4847	338	296
4848	338	296
4849	338	296
4850	338	296
4851	338	296
4852	338	296
4853	338	296
4854	338	296
4855	338	296
4856	338	296
4857	338	296
4858	338	296
4859	338	296
4860	338	296
4861	338	296
4862	338	296
4863	338	296
4864	338	296
4865	338	296
4866	338	296
4867	338	296
4868	338	296
4869	338	296
4870	338	296
4871	338	296
4872	338	296
4873	338	296
4874	338	296
4875	338	296
4876	338	296
4877	338	296
4878	338	296
4879	338	296
4880	338	296
4881	338	296
4882	338	296
4883	338	296
4884	338	296
4885	338	296
4886	338	296
4887	338	296
4888	338	296
4889	338	296
4890	338	296
4891	338	296
4892	338	296
4893	338	296
4894	338	296
4895	338	296
4896	338	296
4897	338	296
4898	338	296
4899	338	296
4900	338	296
4901	338	296
4902	338	296
4903	338	296
4904	338	296
4905	338	296
4906	338	296
4907	338	296
4908	338	296
4909	338	296
4910	338	296
4911	338	296
4912	338	296
4913	338	296
4914	338	296
4915	338	296
4916	338	296
4917	338	296
4918	338	296
4919	338	296
4920	338	296
4921	338	296
4922	338	296
4923	338	296
4924	338	296
4925	338	296
4926	338	296
4927	338	296
4928	338	296
4929	338	296
4930	338	296
4931	338	296
4932	338	296
4933	338	296
4934	338	296
4935	338	296
4936	338	296
4937	338	296
4938	338	296
4939	338	296
4940	338	296
4941	338	296
4942	338	296
4943	338	296
4944	338	296
4945	338	296
4946	338	296
4947	338	296
4948	338	296
4949	338	296
4950	338	296
4951	338	296
4952	338	296
4953	338	296
4954	338	296
4955	338	296
4956	338	296
4957	338	296
4958	338	296
4959	338	296
4960	338	296
4961	338	296
4962	338	296
4963	338	296
4964	338	296
4965	338	296
4966	338	296
4967	338	296
4968	338	296
4969	338	296
4970	338	296
4971	338	296
4972	338	296
4973	338	296
4974	338	296
4975	338	296
4976	338	296
4977	338	296
4978	338	296
4979	338	296
4980	338	296
4981	338	296
4982	338	296
4983	338	296
4984	338	296
4985	338	296
4986	338	296
4987	338	296
4988	338	296
4989	338	296
4990	338	296
4991	338	296
4992	338	296
4993	338	296
4994	338	296
4995	338	296
4996	338	296
4997	338	296
4998	338	296
4999	338	296
5000	338	296
5001	338	296
5002	338	296
5003	338	296
5004	338	296
5005	338	296
5006	338	296
5007	338	296
5008	338	296
5009	338	296
5010	338	296
5011	338	296
5012	338	296
5013	338	296
5014	338	296
5015	338	296
5016	338	296
5017	338	296
5018	338	296
5019	338	296
