	protein_sequence1	protein_sequence2
882	2306	1787
883	2306	2280
884	2306	2211
885	2306	1563
886	2347	2034
887	1865	1151
888	1318	1134
889	1516	1134
890	1483	2331
891	405	2034
892	2340	2034
893	2340	377
894	2340	1757
895	1578	377
896	2446	2280
897	821	2331
898	821	1036
899	821	1975
900	821	377
901	821	84
902	821	1787
903	821	2196
904	821	1757
905	821	2453
906	547	2331
907	577	144
908	1110	1871
909	2643	2280
910	2643	2211
911	2257	1330
912	437	2280
913	259	1653
914	259	2358
915	259	2280
916	259	1563
917	1201	2034
918	1201	2486
919	1201	377
920	552	2034
921	2310	702
922	1187	2280
923	685	1134
924	685	1975
925	685	377
926	685	800
927	685	2196
928	685	1563
929	17	144
930	922	2134
931	681	750
932	915	1660
933	1055	1653
934	1055	1563
935	2600	1653
936	2600	2331
937	2600	2280
938	2600	1563
939	2298	2280
940	2079	2331
941	2079	26
942	2608	516
943	662	2327
944	662	908
945	662	1595
946	662	401
947	662	2280
948	1766	2034
949	2038	1883
950	2038	2582
951	2038	1710
952	65	1653
953	1340	2034
954	1340	1278
955	1663	949
956	1663	2280
957	1663	416
958	1776	377
959	792	2211
960	792	2280
961	88	1435
962	88	2280
963	1740	2331
964	1740	1036
965	1380	1710
966	2239	780
967	2239	2211
968	2239	2280
969	2703	2134
970	63	2034
971	391	2034
972	391	2280
973	2460	1933
974	2460	439
975	2460	1304
976	2460	1281
977	2460	692
978	2460	1811
979	2460	2453
980	2460	2280
981	598	2331
982	2727	1975
983	2727	377
984	2727	84
985	2727	1097
986	889	1975
987	889	377
988	889	1097
989	739	2280
990	2487	454
991	953	970
992	953	2589
993	953	1760
994	953	26
995	953	401
996	953	2280
997	1002	650
998	1292	1435
999	511	1435
1000	511	2196
1001	511	2280
1002	511	2211
1003	2252	1653
1004	2252	2280
1005	2252	1563
1006	359	2134
1007	359	2034
1008	359	2211
1009	804	2034
1010	1384	2034
1011	1384	2331
1012	1384	2355
1013	1384	328
1014	1384	1975
1015	1384	377
1016	1384	800
1017	1384	84
1018	1384	2196
1019	1384	1757
1020	1384	485
1021	1015	144
1022	1015	1883
1023	1015	2297
1024	2522	2280
1025	1501	2173
1026	1501	784
1027	1358	1622
1028	1358	2173
1029	1358	784
1030	2058	2034
1031	427	1435
1032	427	2280
1033	1386	2249
1034	267	2249
1035	2624	949
1036	2724	2211
1037	633	2249
1038	633	2280
1039	1098	471
1040	2552	377
1041	1405	2034
1042	1405	2331
1043	1611	1883
1044	1611	2331
1045	1611	1830
1046	912	2034
1047	1396	1344
1048	1671	393
1049	1671	924
1050	1671	2281
1051	177	1653
1052	177	2211
1053	177	1563
1054	1524	1653
1055	1524	2280
1056	248	1653
1057	248	2280
1058	248	1563
1059	1433	1653
1060	1433	377
1061	1433	1563
1062	1785	1653
1063	1785	2211
1064	1944	1653
1065	1944	2331
1066	1944	1975
1067	1944	377
1068	1206	1653
1069	1206	1975
1070	1206	377
1071	1206	1563
1072	2151	780
1073	2151	2281
1074	2151	2281
1075	2151	2281
1076	2151	2281
1077	1827	471
1078	2556	2280
1079	760	2211
1080	109	780
1081	109	2211
1082	809	2280
1083	1129	1435
1084	1129	2280
1085	528	2249
1086	1072	2280
1087	2471	683
1088	2471	1595
1089	2471	1036
1090	2471	377
1091	2471	401
1092	2471	2280
1093	2471	1757
1094	1959	2249
1095	1807	290
1096	81	2249
1097	81	1981
1098	483	1335
1099	611	1653
1100	611	2211
1101	611	1563
1102	302	2249
1103	302	2280
1104	697	328
1105	697	1757
1106	2479	2034
1107	2479	1727
1108	2290	2327
1109	2290	908
1110	2290	683
1111	2290	1595
1112	2290	1036
1113	2290	1114
1114	2290	401
1115	2290	2280
1116	2290	1757
1117	352	1760
1118	352	2034
1119	352	1114
1120	352	2280
1121	249	290
1122	1366	1653
1123	1366	2331
1124	1887	780
1125	419	1883
1126	419	2297
1127	643	610
1128	643	2008
1129	643	1157
1130	643	771
1131	1226	2034
1132	1589	2034
1133	18	144
1134	18	1213
1135	18	2173
1136	18	1757
1137	2044	2331
1138	2044	2280
1139	2044	2211
1140	1302	1429
1141	2721	1036
1142	1219	2034
1143	1219	26
1144	2370	2034
1145	2370	1435
1146	2205	610
1147	2205	771
1148	1788	1576
1149	1788	2641
1150	2161	2331
1151	2488	144
1152	712	1883
1153	712	1830
1154	712	2211
1155	1071	1213
1156	1071	680
1157	1071	601
1158	1071	1622
1159	2719	2589
1160	586	144
1161	586	2034
1162	586	2280
1163	863	471
1164	930	2249
1165	231	2280
1166	462	2034
1167	1139	2034
1168	1139	981
1169	1139	2486
1170	1139	839
1171	1139	2281
1172	14	1653
1173	14	1563
1174	2692	2327
1175	2692	908
1176	2692	683
1177	2692	1595
1178	2692	1036
1179	1985	2327
1180	1985	908
1181	1985	683
1182	1985	1595
1183	1985	1036
1184	1985	401
1185	1985	2280
1186	1985	1757
1187	1363	1622
1188	1363	377
1189	1363	2173
1190	1363	438
1191	1234	2280
1192	1860	2280
1193	1536	2034
1194	2278	144
1195	2278	2034
1196	2278	981
1197	1932	144
1198	1932	2034
1199	1932	26
1200	2602	2249
1201	2602	2500
1202	2602	2280
1203	2051	2249
1204	2051	2134
1205	2051	2280
1206	1016	1285
1207	1016	2616
1208	1016	1686
1209	1016	936
1210	2728	2280
1211	1593	328
1212	2578	2211
1213	2614	2249
1214	1495	290
1215	1053	2134
1216	1994	2165
1217	1289	2034
1218	1289	2560
1219	1289	237
1220	1289	620
1221	1289	701
1222	931	2034
1223	1651	2034
1224	48	2034
1225	2135	2034
1226	758	290
1227	1654	2280
1228	2738	2331
1229	2738	1975
1230	2738	377
1231	2738	800
1232	2738	2196
1233	615	2034
1234	615	2331
1235	615	2211
1236	615	2280
1237	2226	1591
1238	2226	2685
1239	2226	2580
1240	2226	2034
1241	2226	2331
1242	2226	9
1243	2226	2280
1244	2226	114
1245	198	2331
1246	198	1278
1247	198	23
1248	198	26
1249	357	2034
1250	357	2280
1251	1411	2034
1252	1809	1653
1253	1809	2034
1254	1809	2331
1255	1809	1114
1256	1809	1975
1257	1809	377
1258	1809	800
1259	1809	84
1260	1809	1787
1261	1809	2196
1262	1809	2280
1263	1809	1757
1264	1616	1188
1265	1616	328
1266	1616	1281
1267	1616	692
1268	1616	1811
1269	1616	2280
1270	1616	2453
1271	409	144
1272	595	2331
1273	963	2542
1274	963	754
1275	1092	1975
1276	2628	2211
1277	1193	683
1278	1193	2034
1279	1193	2331
1280	1515	2280
1281	669	1710
1282	143	2034
1283	508	949
1284	508	1757
1285	2359	2134
1286	2359	859
1287	2359	2280
1288	2359	1757
1289	2026	2280
1290	2246	1101
1291	2675	2034
1292	2305	2280
1293	2275	1757
1294	2457	2331
1295	2457	981
1296	803	2165
1297	978	144
1298	729	780
1299	729	2280
1300	1748	1710
1301	2047	513
1302	2047	683
1303	2047	1981
1304	316	2280
1305	1452	2280
1306	1569	2280
1307	1569	2211
1308	1652	2327
1309	1652	642
1310	1652	2249
1311	1652	2280
1312	1652	1757
1313	1696	2331
1314	1118	1818
1315	1118	1435
1316	1118	2280
1317	1549	144
1318	1549	610
1319	1549	2008
1320	1549	2331
1321	1549	771
1322	1549	824
1323	1549	2280
1324	1615	454
1325	501	1134
1326	501	2034
1327	501	2331
1328	501	1975
1329	501	377
1330	501	471
1331	501	485
1332	501	1563
1333	2053	393
1334	1450	1710
1335	2661	2211
1336	947	780
1337	2267	2327
1338	2267	908
1339	2267	1653
1340	2267	2589
1341	2267	2331
1342	2267	1114
1343	2267	377
1344	2267	824
1345	2267	1787
1346	2267	1757
1347	2267	2453
1348	2613	1282
1349	2613	290
1350	2613	1883
1351	1792	1883
1352	1792	2034
1353	1792	1830
1354	1792	2196
1355	1792	2280
1356	1792	2211
1357	1792	2297
1358	1858	1152
1359	1858	1928
1360	1196	2280
1361	270	780
1362	270	2280
1363	1154	207
1364	2622	290
1365	1990	693
1366	1990	1114
1367	2168	171
1368	2168	1653
1369	2168	1975
1370	2168	1787
1371	2362	780
1372	2691	2280
1373	925	2280
1374	1229	2355
1375	873	377
1376	1123	2297
1377	2076	171
1378	2076	1653
1379	2076	2034
1380	2076	2331
1381	2076	1975
1382	2076	692
1383	2076	1787
1384	717	692
1385	1620	692
1386	2489	780
1387	548	377
1388	1142	1883
1389	1142	2034
1390	1142	1830
1391	1142	2297
1392	51	2280
1393	1585	1036
1394	1585	377
1395	1571	780
1396	1571	2034
1397	1571	2280
1398	1571	2211
1399	1430	2196
1400	1430	2280
1401	1369	1653
1402	1369	1563
1403	227	2034
1404	1453	2249
1405	433	2331
1406	571	2589
1407	571	2280
1408	2439	2249
1409	1427	2280
1410	1721	2355
1411	1721	328
1412	1721	471
1413	1763	2034
1414	1895	780
1415	785	1653
1416	785	2331
1417	785	2280
1418	785	2211
1419	1490	1653
1420	1490	2280
1421	1490	2211
1422	1490	1563
1423	2207	1898
1424	2207	1024
1425	2207	924
1426	2207	2355
1427	2207	949
1428	2207	2281
1429	339	1653
1430	339	2280
1431	339	1563
1432	24	1653
1433	24	2331
1434	24	2280
1435	1116	1653
1436	1116	1563
1437	2729	2249
1438	2729	2280
1439	728	692
1440	1447	1883
1441	1447	2582
1442	1447	2297
1443	1502	2280
1444	1066	1282
1445	1066	290
1446	1066	2288
1447	1066	1444
1448	1066	323
1449	1066	2706
1450	1066	1459
1451	1066	487
1452	1066	2288
1453	1066	2288
1454	1066	323
1455	1066	1684
1456	1066	1684
1457	1066	1684
1458	1066	737
1459	1066	737
1460	1066	737
1461	1066	1883
1462	1066	2021
1463	2342	2034
1464	1922	1134
1465	1922	1975
1466	1922	377
1467	1922	800
1468	1922	84
1469	1922	1710
1470	1922	2196
1471	1922	2280
1472	1922	2211
1473	1922	485
