	0
334	173.0
335	21905.0
336	507.0
337	171.0
338	534.0
339	104.0
340	130.0
341	3872.0
342	214.0
343	72.0
344	799.0
345	144.0
346	247.0
347	74.0
348	123.0
349	3311.0
350	981.0
351	897.0
352	95.0
353	146.0
354	154.0
355	258.0
356	1682.0
357	4093.0
358	437.0
359	2177.0
360	1027.0
361	344.0
362	316.0
363	231.0
364	143.0
365	109.0
366	122.0
367	103.0
368	913.0
369	524.0
370	133.0
371	417.0
372	802.0
373	53.0
374	3378.0
375	657.0
376	347.0
377	289.0
378	375.0
379	64.0
380	289.0
381	2971.0
382	132.0
383	352.0
384	264.0
385	1238.0
386	124.0
387	1365.0
388	54.0
389	3570.0
390	103.0
391	146.0
392	9738.0
393	465.0
394	649.0
395	969.0
396	88.0
397	554.0
398	269.0
399	314.0
400	433.0
401	189.0
402	476.0
403	237.0
404	146.0
405	99.0
406	1274.0
407	91.0
408	105.0
409	404.0
410	365.0
411	1514.0
412	176.0
413	205.0
414	230.0
415	77.0
416	979.0
417	407.0
418	2207.0
419	21436.0
420	21383.0
421	612.0
422	115.0
423	391.0
424	41.0
425	1042.0
426	69.0
427	4204.0
428	1095.0
429	346.0
430	188.0
431	271.0
432	404.0
433	15807.0
434	2211.0
435	3900.0
436	951.0
437	675.0
438	106.0
439	663.0
440	377.0
441	2900.0
442	125.0
443	1185.0
444	62.0
445	189.0
446	190.0
447	371.0
448	1251.0
449	168.0
450	169.0
451	267.0
452	178.0
453	104.0
454	171.0
455	840.0
456	506.0
457	465.0
458	267.0
459	752.0
460	57.0
461	283.0
462	2436.0
463	3156.0
464	130.0
465	4482.0
466	660.0
467	145.0
468	2564.0
469	134.0
470	281.0
471	182.0
472	325.0
473	135.0
474	524.0
475	148.0
476	1413.0
477	94.0
478	116.0
479	182.0
480	55.0
481	476.0
482	238.0
483	135.0
484	180.0
485	1048.0
486	332.0
487	898.0
488	111.0
489	213.0
490	934.0
491	116.0
492	3560.0
493	874.0
494	302.0
495	355.0
496	269.0
497	126.0
498	5882.0
499	836.0
500	1329.0
501	192.0
502	694.0
503	131.0
504	299.0
505	64.0
506	89.0
507	198.0
508	5727.0
509	617.0
510	311.0
511	815.0
512	1375.0
513	2550.0
514	442.0
515	164.0
516	811.0
517	167.0
518	187.0
519	764.0
520	66.0
521	922.0
522	286.0
523	198.0
524	445.0
525	120.0
526	109.0
527	444.0
528	153.0
529	127.0
530	133.0
531	208.0
532	64.0
533	690.0
534	191.0
535	414.0
536	1693.0
537	313.0
538	2870.0
539	796.0
540	78.0
541	500.0
542	397.0
543	288.0
544	111.0
545	997.0
546	237.0
547	386.0
548	78.0
549	328.0
550	1645.0
551	427.0
552	108.0
553	130.0
554	508.0
555	2176.0
556	145.0
557	197.0
558	151.0
559	90.0
560	133.0
561	304.0
562	246.0
563	41.0
